,0
572,134.99999999999997
741,134.99999999999997
443,135.0
667,135.0
128,135.0
583,135.0
773,135.0
856,135.0
760,135.00000000000003
918,135.00000000000003
556,135.00000000000003
978,135.00000000000003
709,135.00000000000006
817,135.00000000000006
813,135.3333333333333
727,135.3333333333333
429,135.3333333333333
36,135.3333333333333
120,135.33333333333331
343,135.33333333333331
865,135.33333333333331
380,135.33333333333331
322,135.33333333333331
402,135.33333333333331
188,135.33333333333331
371,135.33333333333334
397,135.33333333333334
616,135.33333333333334
103,135.33333333333334
602,135.33333333333334
163,135.33333333333337
614,135.33333333333337
777,135.33333333333337
213,135.3333333333334
399,135.66666666666663
921,135.66666666666663
427,135.66666666666666
2,135.66666666666666
159,135.66666666666666
590,135.66666666666666
743,135.66666666666666
888,135.66666666666669
953,135.66666666666669
224,135.66666666666669
114,135.66666666666669
137,135.66666666666669
55,135.66666666666669
595,135.66666666666669
673,135.66666666666669
185,135.66666666666669
905,135.6666666666667
487,135.6666666666667
534,135.99999999999994
729,135.99999999999994
421,135.99999999999997
472,135.99999999999997
451,135.99999999999997
473,136.0
690,136.0
386,136.0
475,136.0
781,136.0
845,136.0
700,136.00000000000003
17,136.00000000000003
649,136.00000000000003
186,136.00000000000003
264,136.00000000000003
840,136.00000000000006
629,136.33333333333326
870,136.33333333333331
527,136.33333333333331
277,136.33333333333331
363,136.33333333333331
638,136.33333333333331
138,136.33333333333331
420,136.33333333333331
530,136.33333333333331
799,136.33333333333331
606,136.33333333333331
912,136.33333333333334
563,136.33333333333334
286,136.33333333333337
92,136.33333333333337
531,136.3333333333334
395,136.66666666666663
158,136.66666666666663
932,136.66666666666663
329,136.66666666666666
269,136.66666666666666
93,136.66666666666669
476,136.66666666666669
586,136.66666666666669
379,136.66666666666669
500,136.66666666666669
509,136.6666666666667
284,136.6666666666667
749,136.6666666666667
172,136.6666666666667
449,136.99999999999997
597,136.99999999999997
109,137.0
507,137.0
488,137.0
126,137.00000000000003
792,137.00000000000003
72,137.00000000000006
684,137.00000000000006
221,137.00000000000006
566,137.00000000000006
87,137.33333333333326
517,137.3333333333333
227,137.3333333333333
535,137.3333333333333
605,137.3333333333333
348,137.33333333333331
97,137.33333333333331
644,137.33333333333331
210,137.33333333333331
710,137.33333333333331
468,137.33333333333331
647,137.33333333333331
161,137.33333333333334
32,137.33333333333334
740,137.33333333333334
744,137.33333333333334
873,137.33333333333337
630,137.66666666666663
414,137.66666666666663
326,137.66666666666663
825,137.66666666666663
198,137.66666666666663
864,137.66666666666663
708,137.66666666666666
726,137.66666666666666
273,137.66666666666666
785,137.66666666666666
262,137.66666666666666
711,137.66666666666666
716,137.66666666666666
564,137.66666666666666
119,137.66666666666666
116,137.66666666666669
899,137.66666666666669
804,137.6666666666667
969,137.6666666666667
9,137.6666666666668
959,137.99999999999994
461,137.99999999999997
565,137.99999999999997
13,137.99999999999997
424,138.0
971,138.0
465,138.0
913,138.00000000000003
722,138.00000000000003
23,138.00000000000006
